Customer ID,Transaction Amount,Category
29,27.02,C
51,1898.56,A
54,166.3,C
83,125.85,C
90,18.16,C
105,76.82,C
110,231.57,B
123,169.44,C
132,129.93,C
154,12.85,C
183,82.04,C
238,48.11,C
247,165.62,C
268,414.07,B
270,952.45,A
332,90.1,C
351,616.82,A
376,387.2,B
381,13.29,C
417,172.07,C
427,119.49,C
435,168.26,C
440,148.52,C
443,42.16,C
444,154.71,C
471,66.28,C
489,179.52,C
490,332.85,B
499,189.74,B
509,53.66,C
530,83.0,C
574,13.11,C
600,80.13,C
634,72.8,C
638,538.38,A
660,13.85,C
669,68.51,C
675,166.88,C
719,428.04,B
730,97.89,C
739,147.63,C
769,77.7,C
778,78.9,C
810,125.08,C
834,36.76,C
850,93.71,C
855,480.34,A
891,113.14,C
924,96.78,C
950,80.43,C
951,89.7,C
961,2975.95,A
972,140.51,C
984,295.64,B
996,356.58,B
1006,1449.89,A
1050,205.97,B
1061,64.46,C
1103,409.53,B
1113,122.24,C
1176,22.6,C
1219,1928.84,A
1246,1428.1,A
1257,1399.51,A
1285,144.4,C
1320,173.72,C
1335,27.17,C
1365,88.82,C
1370,990.35,A
1374,181.37,C
1396,124.98,C
1413,335.23,B
1463,93.23,C
1473,77.32,C
1550,150.97,C
1606,829.02,A
1617,849.93,A
1630,118.26,C
1665,117.89,C
1704,445.21,B
1736,151.06,C
1741,34.97,C
1742,108.64,C
1799,220.37,B
1808,47.62,C
1837,85.97,C
1853,956.64,A
1890,2555.69,A
1900,71.66,C
1920,277.52,B
1942,435.86,B
1965,208.48,B
1985,182.65,B
1994,68.24,C
1995,215.06,B
2008,39.27,C
2034,71.89,C
2037,1209.36,A
2063,417.48,B
2117,55.63,C
2128,299.94,B
2136,354.83,B
2142,102.44,C
2168,104.68,C
2190,84.8,C
2195,44.48,C
2242,251.98,B
2244,792.61,A
2290,453.14,B
2293,231.19,B
2411,224.84,B
2417,61.39,C
2448,169.11,C
2498,158.82,C
2512,15.63,C
2545,154.3,C
2569,413.45,B
2582,1767.99,A
2630,118.27,C
2631,817.32,A
2637,49.64,C
2644,109.73,C
2666,242.06,B
2682,383.09,B
2706,60.08,C
2740,2020.95,A
2779,73.9,C
2784,72.58,C
2791,135.89,C
2795,691.08,A
2838,188.13,B
2870,2807.48,A
2926,106.88,C
2928,81.58,C
2931,46.5,C
2961,276.64,B
2962,99.98,C
2999,86.06,C
3064,112.65,C
3079,1595.02,A
3117,24.96,C
3156,24.96,C
3176,1500.25,A
3182,373.43,B
3197,99.39,C
3258,344.37,B
3268,194.26,B
3279,88.29,C
3339,1402.34,A
3370,27.44,C
3402,222.46,B
3409,45.31,C
3410,21.49,C
3433,357.31,B
3444,419.25,B
3530,216.72,B
3535,99.78,C
3546,85.87,C
3550,166.97,C
3554,148.84,C
3576,184.03,B
3604,20.04,C
3608,11.88,C
3612,2134.7,A
3613,319.17,B
3649,87.6,C
3673,276.96,B
3674,59.1,C
3720,1264.03,A
3731,123.85,C
3739,105.68,C
3778,464.86,B
3807,180.57,C
3857,176.49,C
3898,121.28,C
3899,626.83,A
3969,119.54,C
3974,584.13,A
3989,127.07,C
4044,46.4,C
4052,397.61,B
4063,109.38,C
4125,164.15,C
4134,273.98,B
4198,75.34,C
4201,68.7,C
4202,1069.15,A
4253,547.86,A
4279,2497.93,A
4316,42.95,C
4324,2719.46,A
4368,971.35,A
4373,166.92,C
4387,119.57,C
4413,28.77,C
4427,215.7,B
4430,759.65,A
4437,640.58,A
4446,489.29,A
4458,1497.15,A
4516,215.92,B
4533,89.41,C
4553,57.12,C
4577,733.13,A
4634,205.45,B
4652,941.57,A
4656,697.16,A
4694,128.8,C
4718,2871.87,A
4751,347.54,B
4793,48.86,C
4799,269.81,B
4800,189.24,B
4821,396.07,B
4823,2345.58,A
4838,180.52,C
4842,792.04,A
4854,297.65,B
4876,190.71,B
4905,80.36,C
4912,124.85,C
4926,405.84,B
4939,2373.68,A
4948,111.6,C
4987,168.66,C
5003,465.45,B
5006,161.7,C
5018,409.39,B
5028,18.14,C
5036,575.53,A
5045,217.49,B
5060,262.17,B
5068,887.99,A
5106,210.32,B
5145,14.42,C
5147,256.94,B
5155,388.21,B
5164,28.46,C
5234,31.98,C
5266,470.87,A
5275,1000.94,A
5277,49.75,C
5303,250.21,B
5330,163.1,C
5385,87.19,C
5403,356.81,B
5424,1484.57,A
5463,101.94,C
5467,1524.12,A
5476,476.85,A
5477,131.19,C
5486,1439.15,A
5498,209.51,B
5512,1120.23,A
5521,289.3,B
5526,169.51,C
5527,963.51,A
5553,200.47,B
5565,2774.31,A
5581,21.47,C
5584,81.76,C
5595,2574.32,A
5604,281.2,B
5605,2370.18,A
5659,185.06,B
5661,289.18,B
5667,22.41,C
5668,74.77,C
5680,496.76,A
5707,955.38,A
5725,65.14,C
5744,358.22,B
5786,775.66,A
5793,538.53,A
5812,213.59,B
5852,326.67,B
5871,1029.27,A
5914,64.84,C
5938,79.32,C
6081,2086.74,A
6133,46.47,C
6173,14.99,C
6203,60.04,C
6206,647.98,A
6209,14.36,C
6222,2274.4,A
6225,38.7,C
6229,2796.74,A
6284,707.12,A
6296,54.28,C
6309,80.97,C
6332,14.67,C
6361,172.89,C
6375,92.11,C
6376,483.97,A
6395,92.97,C
6434,15.68,C
6447,236.25,B
6461,188.95,B
6463,12.11,C
6466,62.51,C
6469,96.9,C
6510,119.6,C
6525,774.24,A
6526,344.11,B
6535,78.58,C
6559,24.96,C
6572,203.75,B
6590,18.69,C
6597,68.61,C
6602,2865.86,A
6619,735.02,A
6659,2845.25,A
6660,102.31,C
6662,288.75,B
6685,34.14,C
6734,125.21,C
6749,145.15,C
6794,478.69,A
6800,198.14,B
6806,59.39,C
6832,264.56,B
6858,47.78,C
6870,84.27,C
6887,282.72,B
6905,366.56,B
6935,17.06,C
6994,79.06,C
6998,1935.91,A
7010,610.69,A
7015,47.16,C
7020,1550.34,A
7065,223.72,B
7083,692.24,A
7099,2964.13,A
7101,105.29,C
7117,245.09,B
7139,117.08,C
7150,23.98,C
7159,78.96,C
7167,2337.8,A
7204,175.27,C
7219,21.95,C
7230,227.56,B
7238,22.11,C
7248,147.04,C
7268,25.53,C
7309,91.01,C
7312,2711.24,A
7344,166.07,C
7366,484.08,A
7391,623.63,A
7398,82.3,C
7399,83.06,C
7401,1695.09,A
7429,20.32,C
7432,47.78,C
7463,85.43,C
7493,37.48,C
7504,186.03,B
7514,60.97,C
7607,117.03,C
7608,35.9,C
7651,1981.81,A
7696,54.29,C
7710,218.9,B
7727,94.23,C
7739,123.74,C
7745,55.94,C
7753,747.03,A
7755,83.72,C
7772,2567.48,A
7793,12.67,C
7829,18.03,C
7882,135.56,C
7935,278.75,B
7938,15.53,C
7940,300.35,B
7997,2034.71,A
8049,65.67,C
8070,195.34,B
8073,820.15,A
8084,20.02,C
8091,249.93,B
8100,69.63,C
8122,709.65,A
